1332 2674
1120 1119 20
1120 1121 11
1121 1120 11
1121 1122 8
1122 1121 8
1122 1123 8
1123 1122 8
1123 1124 9
1124 1123 9
1124 1125 8
1125 1124 8
1125 1126 12
1126 1125 12
1126 1127 9
1127 1126 9
1127 1128 9
1128 1127 9
1128 1129 22
1129 1128 22
1129 1130 27
1130 1129 27
1130 1131 20
1131 1130 20
1131 1132 20
1132 1131 20
1132 1133 64
1133 1132 64
1133 1134 53
1134 1133 53
1134 1135 43
1134 1136 49
1135 1134 43
1136 1134 49
1136 1137 42
1137 1136 42
1137 1138 49
1138 1137 49
1138 1139 88
1139 1138 88
1139 1140 25
1140 1139 25
1140 1141 23
1140 1142 100
1141 1140 23
1142 1140 100
1142 1143 90
1143 1142 90
1143 1144 332
1144 1143 332
1144 1145 329
1145 1144 329
1145 1146 119
1146 1145 119
1146 1147 155
1147 1146 155
1147 1148 100
1148 1147 100
1148 1149 174
1149 1148 174
1149 1150 137
1150 1149 137
1150 1151 79
1151 1150 79
1151 1152 29
1152 1151 29
1152 1153 61
1153 1152 61
1153 1154 83
1154 1153 83
1154 1155 52
1155 1154 52
1155 1156 128
1156 1155 128
1156 1157 49
1157 1156 49
1157 1158 43
1158 1157 43
1158 1159 41
1159 1158 41
1159 1160 112
1160 1159 112
1160 1161 76
1161 1160 76
1161 1162 29
1162 1161 29
1162 1163 14
1163 1162 14
1163 1164 10
1164 1163 10
1164 1165 13
1165 1164 13
1165 1166 64
1166 1165 64
1166 1167 38
1167 1166 38
1167 1168 14
1168 1167 14
1168 1169 15
1169 1168 15
1169 1170 20
1170 1169 20
1170 1171 18
1171 1170 18
1171 1172 55
1172 1171 55
1172 1173 31
1173 1172 31
1173 1174 32
1174 921 30
1174 1173 32
1174 1175 42
1175 1174 42
1175 1176 35
1176 1175 35
1176 1177 43
1177 1176 43
1177 1178 18
1178 1177 18
1178 1179 12
1179 1178 12
1179 1180 10
1180 1179 10
1180 1181 27
1181 1180 27
1181 1182 38
1182 1181 38
1182 1183 29
1183 1182 29
1183 1184 17
1184 1183 17
1184 1185 10
1185 1184 10
1185 1186 13
1186 1185 13
1186 1187 25
1187 1186 25
1187 1188 20
1188 1187 20
1188 1189 24
1189 1188 24
1189 1190 10
1190 1189 10
1190 1191 10
1191 1190 10
1191 1192 9
1192 1191 9
1192 1193 12
1193 1192 12
1193 1194 14
1194 1193 14
1194 1195 8
1195 1194 8
1195 1196 9
1196 1195 9
1196 1197 8
1197 1196 8
1197 1198 10
1198 1197 10
1198 1199 6
1199 1198 6
1199 1200 9
1200 1199 9
1200 1201 17
1201 1200 17
1201 1202 26
1202 1201 26
1202 1203 17
1203 1202 17
1203 1204 13
1204 1203 13
1204 1205 9
1205 1204 9
1205 1206 10
1206 1205 10
1206 1207 9
1207 1206 9
1207 1208 13
1208 1207 13
1208 1209 14
1209 1208 14
1209 1210 14
1210 1209 14
1210 1211 19
1211 1210 19
1211 1212 11
1212 1211 11
1212 1213 55
1213 1212 55
1213 1214 8
1214 1213 8
1214 1215 12
1215 1214 12
1215 1216 12
1216 1215 12
1216 1217 9
1217 1216 9
1217 1218 9
1218 1217 9
1218 1219 9
1219 1218 9
1219 1220 14
1220 1219 14
1220 1221 12
1221 1220 12
1221 1222 11
1222 1221 11
1222 1223 14
1223 1222 14
1223 1224 10
1224 1223 10
1224 1225 9
1225 1224 9
1225 1226 11
1226 1225 11
1226 1227 7
1227 1226 7
1227 1228 8
1228 1227 8
1228 1229 10
1229 1228 10
1229 1230 35
1229 1246 15
1230 1229 35
1230 1231 34
1231 1230 34
1231 1232 15
1232 1231 15
1232 1233 11
1233 1232 11
1233 1234 41
1234 1233 41
1234 1235 20
1235 1234 20
1235 1236 28
1236 1235 28
1236 1237 40
1237 1236 40
1237 1238 26
1238 1237 26
1238 1239 50
1239 1238 50
1239 1240 10
1240 1239 10
1240 1241 34
1241 1240 34
1241 1242 41
1242 1241 41
1242 1243 14
1243 1242 14
1243 1244 11
1244 1243 11
1244 1245 53
1245 1244 53
1246 1229 15
1246 1247 13
1247 1246 13
1247 1248 37
1248 1247 37
1248 1249 23
1249 1248 23
1249 1250 16
1250 1249 16
1250 1251 20
1251 1250 20
1251 1252 35
1252 1251 35
1252 1253 68
1253 1252 68
1253 1254 66
1254 1253 66
1254 1255 34
1255 1254 34
1255 1256 38
1256 1255 38
1256 1257 36
1257 1256 36
1257 1258 15
1258 1257 15
1258 1259 12
1259 1258 12
1259 1260 9
1260 1259 9
1260 1261 9
1261 1260 9
1261 1262 8
1262 1261 8
1262 1263 5
1263 1262 5
1263 1264 10
1264 1263 10
1264 1265 6
1265 1264 6
1265 1266 9
1266 1265 9
1266 1267 8
1267 1266 8
1267 1268 7
1268 1267 7
1268 1269 7
1269 1268 7
1269 1270 7
1270 1269 7
1270 1271 9
1271 1270 9
1271 1272 28
1272 1271 28
1272 1273 18
1273 1272 18
1273 1274 15
1274 1273 15
1274 1275 17
1275 1274 17
1275 1276 14
1276 1275 14
1276 1277 13
1277 1276 13
1277 1278 9
1278 1277 9
1278 1279 10
1279 1278 10
1279 1280 13
1280 1279 13
1280 1281 15
1281 1280 15
1281 1282 12
1282 1281 12
1282 1283 14
1283 1282 14
1283 1284 20
1284 1283 20
1284 1285 12
1285 1284 12
1285 1286 11
1286 1285 11
1286 1287 9
1287 1286 9
1287 1288 8
1288 1287 8
1288 1289 16
1289 1288 16
1289 1290 17
1290 1289 17
1290 1291 14
1291 1290 14
1291 1292 10
1292 1291 10
1292 1293 16
1293 1292 16
1293 1294 8
1294 1293 8
1294 1295 7
1295 1294 7
1295 1296 7
1296 1295 7
1296 1297 9
1297 1296 9
1297 1298 7
1298 1297 7
1298 1299 11
1299 1298 11
1299 1300 10
1300 1299 10
1300 1301 9
1301 1300 9
1301 1302 6
1302 1301 6
1302 1303 11
1303 1302 11
1303 1304 12
1304 1303 12
1304 1305 12
1305 1304 12
1305 1306 6
1306 1305 6
1306 1307 5
1307 1306 5
1307 1308 4
1308 1307 4
1308 1309 8
1309 1308 8
1309 1310 11
1310 1309 11
1310 1311 13
1311 1310 13
1311 1312 16
1312 1311 16
1312 1313 17
1313 1312 17
1313 1314 14
1314 1313 14
1314 1315 20
1315 1314 20
1315 1316 21
1316 1315 21
1316 1317 18
1317 1316 18
1317 1318 13
1318 1317 13
1318 1319 11
1319 1318 11
1319 1320 10
1320 1319 10
1320 1321 10
1321 1320 10
1321 1322 16
1322 1321 16
1322 1323 16
1323 1322 16
1323 1324 16
1324 1323 16
1324 1325 20
1325 1324 20
1325 1326 23
1326 1325 23
1326 1327 15
1327 1326 15
1327 1328 30
1328 1327 30
1328 1329 30
1329 1328 30
1329 1330 16
1330 1329 16
1330 1331 9
1331 1330 9
